1364	1921
2086	2403
2136	2472
2136	2472
2086	2403
1365	1921
470	2490
2077	2484
2043	1268
2549	2119
2530	2068
1973	2264
2549	2119
1278	2120
1266	2124
2173	1484
2108	2454
2039	2356
1808	776
2095	2435
1973	2263
1947	2254
1947	2253
2094	2436
1998	2331
1866	2335
1757	2197
1824	2277
2096	2434
1821	2277
1823	2277
2359	1877
2109	2453
2039	2356
2365	1838
1853	2329
2530	2150
2172	1481
2029	2323
1870	2334
1875	2356
1869	2334
724	1335
2059	2385
1971	734
2037	860
1999	2330
1943	2253
1803	576
1893	2385
1500	2603
2558	2099
1946	860
1880	691
2080	2374
1906	697
2058	2384
2598	2127
2037	860
1828	742
752	1287
2063	2613
2054	909
1837	720
1924	2428
2536	2103
2054	909
1914	735
1801	2280
1509	2623
1759	2747
2009	2610
1800	2281
2321	1937
2004	2290
1501	2535
1883	755
2506	2155
2144	2622
999	1611
1286	2097
2114	2320
1281	2084
1753	2195
1778	2762
2072	1249
1831	2277
2066	2613
735	1307
2084	2417
2134	2487
2119	2607
2074	2548
2130	2644
1877	2269
1828	793
1793	2201
1262	2037
1913	734
2118	2320
1864	721
1821	553
2117	2607
1838	723
2121	2607
1415	2501
1752	2194
1242	1989
1891	969
1243	2112
1607	2710
2115	2320
2067	2613
1919	2428
1823	964
2111	3306
731	1276
1759	2773
1693	2642
2011	2336
1773	2272
1842	781
2084	2418
2111	3306
2564	2185
1321	1902
2023	3323
554	1247
1059	2134
731	1276
1800	560
1584	2726
2106	3237
1894	720
2014	738
1253	2121
1792	2210
1829	896
2054	3297
1882	752
1962	860
1498	2553
1801	836
2541	2103
1922	2327
1934	780
1173	2160
2106	3237
2076	932
1008	961
1831	769
2039	3342
1875	2269
2082	922
1653	2772
2141	2448
2076	933
2016	2249
1956	821
1237	2099
1920	2327
553	1247
743	1282
2037	944
1898	1048
1165	2117
1015	2288
1865	720
1523	2566
1814	632
2074	2331
2070	2319
1007	961
2005	3324
2096	2362
2095	2315
1901	2205
1800	836
2105	2377
2100	2314
1873	2270
2129	2425
1781	921
1935	2454
2006	2228
1919	2327
2185	2628
1981	808
1672	2769
1901	727
2561	2097
1659	2640
1941	2399
1584	2726
1983	2454
2080	3262
1768	2269
1817	756
1000	1586
1960	860
1959	860
2097	925
2009	814
2023	1184
1942	2464
1428	2492
551	1247
2319	1820
1830	814
1861	765
2578	2132
1876	2334
1898	1046
2030	806
2047	3356
2018	805
2153	2446
2113	3291
1823	787
1883	2381
1026	2151
1319	2053
2011	2439
1121	2130
1829	898
937	2167
2320	1819
1808	2269
1026	2152
788	578
2582	2150
2066	2526
1861	765
1828	793
2090	3297
1884	2382
1545	2463
2070	2319
1936	766
2521	2148
1868	2247
1937	763
1982	806
1977	717
2089	3276
2004	755
2301	2202
1964	2482
1793	539
1978	715
1959	2482
1811	3074
1972	2508
1928	3050
1001	1586
920	2268
2076	3332
1853	543
1283	2013
1977	718
2284	1232
1571	2508
1695	2745
2114	3290
2555	2224
1009	2231
1631	2662
1369	1947
1898	1045
1982	805
2608	2011
2009	816
1834	881
2088	2555
1950	789
2094	924
893	2253
1907	716
1986	825
1697	2749
2320	1818
2080	3263
2169	3220
2008	817
2048	2495
1702	2888
1940	2399
1431	2493
1946	2342
2070	2548
1075	2215
873	2458
1882	940
1792	937
1979	2511
2052	944
1867	2209
658	2387
2581	2131
1782	917
1907	715
2095	925
1242	1991
1627	2701
1804	630
2007	2256
1819	761
1956	822
1936	765
2023	2276
1915	2425
2032	808
2111	2606
1947	789
2025	2400
1571	2705
1941	847
2048	2310
1934	2339
1791	3051
2234	1151
728	623
1937	1016
1546	2463
2005	754
1993	2537
1946	789
1781	918
2029	3397
1834	772
1882	3176
1934	771
2091	3264
1838	547
2231	1984
2006	2608
1974	2509
1074	2214
1075	2216
2136	2475
2122	2471
2012	1290
1893	719
2017	2571
2581	2131
1942	2460
2016	2325
1952	2372
1283	2011
636	2376
1138	2064
1778	2271
2072	2402
1789	2250
722	1297
1027	2153
1942	849
2039	3373
1792	3049
1953	2480
2121	2471
716	631
1177	2133
1926	1037
1939	2455
1614	2796
2154	2459
2064	2455
1872	534
2069	2376
1928	1038
1910	1053
600	1207
1943	2461
2038	810
1977	2392
2072	2403
1969	2392
2010	2611
2011	2339
1436	2494
2247	2186
2000	2541
1952	2479
1942	849
1883	940
1814	531
1571	2502
1989	827
2116	3249
1281	2026
2590	2111
1810	2796
1121	2131
2005	753
1806	908
1711	2884
1965	2395
1952	2372
2064	2386
1891	692
600	1207
716	1336
2052	944
717	633
1681	2883
1890	2274
1571	2705
1591	2384
1935	1016
2217	1107
1910	1052
2106	3249
1935	1016
1469	2835
1327	2055
1782	903
1141	2065
1928	1038
1672	2881
1590	2385
1813	838
1978	2511
1911	1049
1140	2065
1895	533
2103	2540
1782	901
1280	1986
1854	741
2140	3279
2001	831
1027	2218
1934	1039
2023	2574
687	1352
2065	3330
2050	2627
904	2313
2054	945
1424	1901
2081	2375
1867	2357
2590	2111
2131	3255
1239	2196
1588	2533
2110	913
2007	2241
1889	535
917	2335
1194	2245
2074	2613
1865	2355
1210	2274
1913	2327
1809	2269
869	998
2590	2109
2050	993
2041	3255
2029	959
1285	2109
1833	885
1998	830
1281	2022
1988	2210
2047	2298
2045	3342
1302	2050
1653	2617
1281	2023
1624	2697
1948	2433
2025	1188
1624	2697
1829	822
629	2510
2030	955
1893	690
2132	2619
1211	2274
1745	589
1983	2455
1239	2199
1851	760
2099	3292
1184	2215
1005	2287
1541	2598
2616	2026
1729	598
1283	2002
1900	735
1910	1016
1738	565
1964	3306
1831	735
1654	3102
1829	822
1602	2686
1017	2278
1980	2444
1976	1132
1676	2655
1868	2248
2211	2035
1672	2881
2127	2413
1298	2049
2007	2241
1682	2883
1956	2481
2071	2521
2127	2413
1104	2163
1026	2304
717	634
1053	2325
2003	829
2018	2572
2056	2498
2608	2027
2060	3342
1984	799
1325	2151
2248	2170
1817	897
2196	2070
1844	2877
1239	2197
1154	1939
1763	579
1805	911
2272	2185
1332	2056
1906	1027
2058	2478
1985	2210
1876	734
1766	2189
1906	729
2006	823
1589	2531
2046	3342
1959	2364
1783	909
1745	588
2580	2094
1569	2671
2303	2187
1984	2210
942	1018
