651	2568
609	2527
635	2549
563	2558
614	2584
518	2513
621	2600
854	2559
619	2525
645	2554
558	2565
1038	1971
589	2540
668	2566
861	2509
770	2359
573	2596
895	2246
733	2610
830	2600
681	2582
1079	2260
652	2586
674	2567
906	2299
929	2320
602	2536
1번째, SCALAR:[0, 255, 0, 0]
651	2568
609	2527
635	2549
563	2558
614	2584
518	2513
621	2600
854	2559
619	2525
645	2554
558	2565
1038	1971
589	2540
668	2566
861	2509
770	2359
573	2596
895	2246
733	2610
830	2600
681	2582
1079	2260
652	2586
674	2567
906	2299
929	2320
602	2536
1번째, SCALAR:[0, 255, 0, 0]
651	2568
609	2527
635	2549
563	2558
614	2584
518	2513
621	2600
854	2559
619	2525
645	2554
558	2565
1038	1971
589	2540
668	2566
861	2509
770	2359
573	2596
895	2246
733	2610
830	2600
681	2582
1079	2260
652	2586
674	2567
906	2299
929	2320
602	2536
1번째, SCALAR:[0, 255, 0, 0]
1485	2562
1389	2628
1547	2585
1509	2490
1583	2654
1397	2578
1634	2313
1510	2463
1395	2582
1414	2508
1392	2600
1438	2478
1499	2578
1615	2530
1499	2591
1598	2538
1416	2484
1543	2640
2182	2431
1435	2452
1509	2663
1583	2654
1533	2459
1614	2496
1552	2499
1535	2397
1499	2591
1416	2513
1496	2634
1656	2422
1430	2476
486	2843
304	2856
1527	2201
1599	2227
1498	2413
422	2946
521	2946
2676	2520
1442	2423
1582	2509
1157	2258
987	2361
1583	2654
1276	2056
1517	2559
2694	2748
1544	2446
1539	2197
1487	1924
1564	2258
1567	2380
1489	2319
149	1851
1100	1853
1546	2529
1681	2191
963	2435
1489	2240
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
1번째, SCALAR:[0, 255, 0, 0]
