1228	1608
1226	1522
1477	862
1901	1782
2043	1590
1489	1317
1235	1585
1870	753
1977	1875
1775	1542
1815	1672
2009	1789
2101	1456
1443	1799
1646	980
1328	1773
1572	833
1811	1030
1812	1796
1293	1511
1861	1818
1898	1819
1886	1858
2041	1861
1905	1746
1848	1753
1588	1850
1859	1633
1840	1669
2012	1559
2013	1836
1436	1844
1389	1752
1479	1486
1361	1402
2038	1630
1775	1537
1172	1597
1922	1811
1993	1930
