1372	2354
1859	2817
926	2293
2206	2192
1655	843
1410	2333
1692	2559
1763	2716
3751	842
3750	843
2634	1670
1742	2728
1597	890
1324	1442
1755	2571
1745	2608
1700	2736
1726	2763
1732	2674
1307	1466
2531	1706
1755	2572
1615	2651
1702	2737
1552	848
1674	821
2548	1712
1567	901
1567	901
846	2234
1522	863
2541	1692
1615	920
1545	813
1292	1439
2486	1719
905	2233
2586	1679
1702	2737
1614	882
1761	2698
1597	874
2579	1692
1714	2747
1677	2517
2600	1665
2498	1759
1590	936
1713	2709
1714	2746
1577	843
1745	2607
1837	924
2152	561
882	2208
1869	2829
2282	576
2532	1748
1759	2679
1756	967
2505	1696
858	2236
2468	2263
2681	1606
2622	1753
1728	2642
1858	2843
2577	1664
1290	1939
1598	874
954	2274
2622	1752
3357	1104
3047	1590
1617	920
2555	1700
1599	826
1556	847
2444	1773
1598	826
2282	576
1564	900
1433	1713
1573	2487
2648	1708
2449	1227
1602	826
2450	1227
1600	876
1674	821
2624	1720
2360	1256
2531	1747
1562	801
2032	623
1723	2693
2622	1696
2449	1727
1518	1367
2600	1666
2650	1708
1665	2706
1546	894
1354	1422
1746	2757
1561	801
3088	1698
1736	2762
1559	2493
1659	2617
1741	2682
2505	1696
3104	1575
1301	1956
1604	844
2587	1699
853	2184
1526	862
1884	2843
1607	845
1740	2707
1670	2722
1448	1221
1736	2555
1592	872
1402	1882
881	2218
833	2157
1495	1324
1559	2490
3164	1338
894	2232
1728	2723
1895	2828
2643	1683
1880	2814
904	2233
2432	1718
1622	809
833	2156
1618	2549
2360	1256
1763	2680
2505	1740
1619	2707
1079	1653
1763	2703
1617	883
1517	1367
1578	822
871	2216
1665	2707
833	2141
2555	1700
1558	832
854	2215
2669	2418
1629	2689
1740	2705
2459	1767
1552	2529
1608	845
1550	799
3088	1698
1478	1336
2457	1754
1659	878
1573	2491
793	2169
2374	1238
1632	776
1908	2772
1682	2496
1546	894
2520	1737
1350	1423
2592	1689
807	2177
818	2172
1764	2551
1669	2720
1678	2504
1764	2552
1419	1376
2437	1735
1899	2786
2032	623
1736	2750
1288	1461
1633	790
1387	1464
824	2202
2476	1761
1313	1939
1661	875
1746	2659
2519	1463
1631	826
3082	1675
2583	1500
1714	2737
2476	1761
1203	2012
1658	793
1387	1464
890	2254
1511	2624
1581	952
1764	2554
1669	2719
870	2261
903	2292
3107	1584
2640	1453
1734	2692
2498	1755
2518	2282
2459	1710
1753	2655
1561	832
2591	1689
1044	1666
1764	2661
1510	2610
1725	2632
1560	832
1572	833
2553	1604
1554	953
1904	2815
2644	1479
3165	1338
1696	2577
1741	2660
1113	1666
1490	1713
1039	1977
1695	2573
1698	2586
1537	1390
1543	2516
1058	1963
1624	2660
2463	1723
1726	2635
903	2292
1764	2683
3094	1720
1060	2184
1620	2710
1725	2634
1655	2617
1577	824
1649	2708
2527	1727
1496	1324
2458	1767
1661	2558
1726	2644
1203	2012
2474	2301
2622	1693
1735	2611
1800	1980
2375	1238
2474	2261
2262	723
2331	555
1717	2545
1532	1368
2262	722
1580	952
3324	1132
1577	824
1697	2582
3339	1120
2507	2314
817	2177
3676	960
3237	2073
1023	1684
1555	2529
1448	1223
1056	2081
1668	2713
1425	1908
1113	1666
1697	2583
1495	2646
2449	1752
1552	952
1652	2707
1273	1984
1725	2693
2528	1728
1529	1367
1673	2559
1019	1683
3758	876
1739	2705
1746	2743
2197	2233
1597	2710
1737	2610
2127	2239
1660	2558
1716	2545
2454	2253
2197	2234
1677	2611
1450	2438
2550	1452
1874	2857
2552	1604
1685	2608
3246	2071
1060	2184
1605	2658
3284	1410
1462	2466
887	2175
1660	886
1447	1224
1520	827
2477	2266
817	2188
1511	2613
