1494	2531
1521	2493
1503	2529
1510	2542
2056	3235
1881	2936
2217	2185
2157	2431
1755	2971
1538	2519
1521	2493
1551	2540
2217	2185
1490	2493
2221	2173
2056	3235
1489	2530
1991	2978
1521	2493
1577	2659
1808	2269
2088	2555
1465	2525
1489	2530
2069	2288
2558	2099
1850	2983
1538	2519
1538	2519
2039	3342
1882	2970
1920	3100
1922	2360
1633	2618
1922	2360
2385	2124
1627	2754
1620	2402
1582	2690
1676	2226
1815	2901
2157	2431
1840	2985
2087	3140
1912	2288
1900	2945
1638	3071
1794	2945
2075	3237
2015	2362
2258	2169
2208	2162
1529	2565
1757	2861
2291	2094
1699	2822
1792	2210
1803	2811
1624	2776
1881	2899
